kappa,trial,c,eps,n_outer,total_inner,converged,rp,rs,f_rel,lam_rel,cpu
10.0,4,100.0,1e-06,3,156,True,2.6582243959456954e-08,1.4245084569117945e-08,4.755653732284782e-10,3.7440977865312694e-10,0.0009999275207519531
10.0,4,1000.0,1e-06,3,169,True,1.284471363788822e-09,1.9268757832671616e-07,1.9735377121319053e-11,1.557979891292178e-09,0.0009996891021728516
10.0,4,10000.0,1e-06,4,281,True,1.0447139294707973e-11,2.131776760254604e-09,2.832667901448084e-14,3.436622624797251e-11,0.002000093460083008
10.0,5,0.0001,0.01,500,3999,False,31.832527747085535,0.00015986259118323828,0.44695529336976697,0.3735810306091887,0.041484832763671875
10.0,5,0.001,0.01,500,3999,False,0.043490476114933174,1.6016734724449176e-06,0.00044860911533385866,0.000694894815026099,0.04201698303222656
10.0,5,0.01,0.01,141,1023,True,9.305507451609959e-07,6.548793796950567e-10,6.640809293033234e-09,1.5490144166099897e-08,0.012009620666503906
10.0,5,0.1,0.01,21,197,True,6.794599936449031e-07,9.782392699458624e-09,5.662004549356353e-09,1.1229106703985757e-08,0.0019991397857666016
10.0,5,1.0,0.01,8,129,True,1.186404264201762e-07,6.703334004055173e-08,5.749998318339096e-10,1.5978643973636814e-09,0.0009996891021728516
10.0,5,10.0,0.01,7,143,True,1.2814475333413014e-08,8.97810516463597e-07,5.030977426718726e-11,1.2398490752648496e-08,0.002013683319091797
10.0,5,100.0,0.01,9,178,True,5.484728330033101e-10,6.42870224448512e-07,2.016661349869373e-12,8.120710500278e-09,0.000993490219116211
10.0,5,1000.0,0.01,10,227,True,1.9071165378619528e-10,1.1145722971907862e-07,5.228692620336598e-13,3.263481069602481e-09,0.002077341079711914
10.0,5,10000.0,0.01,10,253,True,6.431678468876042e-12,7.555660217462274e-08,7.565632408847168e-15,1.40346888390047e-09,0.0019991397857666016
10.0,5,0.0001,0.0001,500,7499,False,31.832452721839765,1.5114004506621684e-06,0.44695427707764085,0.37358119806993473,0.06682872772216797
10.0,5,0.001,0.0001,500,7499,False,0.04349385924844301,1.570233035247705e-08,0.0004486305711046401,0.0006949550391686953,0.06625604629516602
10.0,5,0.01,0.0001,141,1974,True,9.311975422161618e-07,5.42508233040923e-12,6.649711100188067e-09,1.5500317582297328e-08,0.017328739166259766
10.0,5,0.1,0.0001,21,398,True,6.800131993513006e-07,9.659899684007395e-11,5.675041394935532e-09,1.1213010090314756e-08,0.0029761791229248047
10.0,5,1.0,0.0001,7,200,True,2.6905695862024817e-07,2.0580054510538457e-09,2.8885351263312547e-09,4.289915795210627e-09,0.0
10.0,5,10.0,0.0001,4,120,True,1.140187746975698e-07,7.169118673933483e-08,1.5537894442459734e-09,1.8068296336992487e-09,0.0033681392669677734
10.0,5,100.0,0.0001,4,154,True,2.8475357473710756e-08,1.0156065088509638e-07,3.101804209399438e-11,1.7980116958053826e-09,0.0010883808135986328
